title,price,rating,in_stock,category,url,source,scraped_at
A Light in the Attic,51.77,3,1,Poetry,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,books_toscrape,2025-09-25T08:46:17.995852
Tipping the Velvet,53.74,1,1,Historical Fiction,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,books_toscrape,2025-09-25T08:46:19.772346
Soumission,50.1,1,1,Fiction,http://books.toscrape.com/catalogue/soumission_998/index.html,books_toscrape,2025-09-25T08:46:21.603903
Sharp Objects,47.82,4,1,Mystery,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,books_toscrape,2025-09-25T08:46:24.075692
Sapiens: A Brief History of Humankind,54.23,5,1,History,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,books_toscrape,2025-09-25T08:46:25.579978
The Requiem Red,22.65,1,1,Young Adult,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,books_toscrape,2025-09-25T08:46:27.673986
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,1,Business,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,books_toscrape,2025-09-25T08:46:30.436732
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,1,Default,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,books_toscrape,2025-09-25T08:46:33.669240
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,1,Default,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,books_toscrape,2025-09-25T08:46:36.559507
The Black Maria,52.15,1,1,Poetry,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,books_toscrape,2025-09-25T08:46:38.693411
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,1,Default,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,books_toscrape,2025-09-25T08:46:41.495705
Shakespeare's Sonnets,20.66,4,1,Poetry,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,books_toscrape,2025-09-25T08:46:44.747762
Set Me Free,17.46,5,1,Young Adult,http://books.toscrape.com/catalogue/set-me-free_988/index.html,books_toscrape,2025-09-25T08:46:47.174041
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,1,Sequential Art,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,books_toscrape,2025-09-25T08:46:50.124272
Rip it Up and Start Again,35.02,5,1,Music,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,books_toscrape,2025-09-25T08:46:51.733884
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,1,Music,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,books_toscrape,2025-09-25T08:46:53.509972
Olio,23.88,1,1,Poetry,http://books.toscrape.com/catalogue/olio_984/index.html,books_toscrape,2025-09-25T08:46:54.889463
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1,Science Fiction,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,books_toscrape,2025-09-25T08:46:57.793127
Libertarianism for Beginners,51.33,2,1,Politics,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,books_toscrape,2025-09-25T08:47:00.653277
It's Only the Himalayas,45.17,2,1,Travel,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,books_toscrape,2025-09-25T08:47:03.895306
In Her Wake,12.84,1,1,Unknown,http://books.toscrape.com/in-her-wake_980/index.html,books_toscrape,2025-09-25T08:47:12.870565
How Music Works,37.32,2,1,Unknown,http://books.toscrape.com/how-music-works_979/index.html,books_toscrape,2025-09-25T08:47:19.594439
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,1,Unknown,http://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,books_toscrape,2025-09-25T08:47:27.344462
Chase Me (Paris Nights #2),25.27,5,1,Unknown,http://books.toscrape.com/chase-me-paris-nights-2_977/index.html,books_toscrape,2025-09-25T08:47:36.104809
